VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
1,2020-01-01 00:28:15,2020-01-01 00:33:03,1,1.2,1,N,238,239,1,6.0,3.0,0.5,1.47,0.0,0.3,11.27,2.5
1,2020-01-01 00:35:39,2020-01-01 00:43:04,1,1.2,1,N,239,238,1,7.0,3.0,0.5,1.5,0.0,0.3,12.3,2.5
1,2020-01-01 00:47:41,2020-01-01 00:53:52,1,0.6,1,N,238,238,1,6.0,3.0,0.5,1.0,0.0,0.3,10.8,2.5
1,2020-01-01 00:55:23,2020-01-01 01:00:14,1,0.8,1,N,238,151,1,5.5,0.5,0.5,1.36,0.0,0.3,8.16,0.0
2,2020-01-01 00:01:58,2020-01-01 00:04:16,1,0.0,1,N,193,193,2,3.5,0.5,0.5,0.0,0.0,0.3,4.8,0.0
2,2020-01-01 00:09:44,2020-01-01 00:10:37,1,0.03,1,N,7,193,2,2.5,0.5,0.5,0.0,0.0,0.3,3.8,0.0
2,2020-01-01 00:39:25,2020-01-01 00:39:29,1,0.0,1,N,193,193,1,2.5,0.5,0.5,0.01,0.0,0.3,3.81,0.0
2,2019-12-18 15:27:49,2019-12-18 15:28:59,1,0.0,5,N,193,193,1,0.01,0.0,0.0,0.0,0.0,0.3,2.81,2.5
2,2019-12-18 15:30:35,2019-12-18 15:31:35,4,0.0,1,N,193,193,1,2.5,0.5,0.5,0.0,0.0,0.3,6.3,2.5
1,2020-01-01 00:29:01,2020-01-01 00:40:28,2,0.7,1,N,246,48,1,8.0,3.0,0.5,2.35,0.0,0.3,14.15,2.5
1,2020-01-01 00:55:11,2020-01-01 01:12:03,2,2.4,1,N,246,79,1,12.0,3.0,0.5,1.75,0.0,0.3,17.55,2.5
1,2020-01-01 00:37:15,2020-01-01 00:51:41,1,0.8,1,N,163,161,2,9.5,3.0,0.5,0.0,0.0,0.3,13.3,2.5
1,2020-01-01 00:56:27,2020-01-01 01:21:44,1,3.3,1,N,161,144,1,17.0,3.0,0.5,4.15,0.0,0.3,24.95,2.5
2,2020-01-01 00:21:54,2020-01-01 00:27:31,1,1.07,1,N,43,239,1,6.0,0.5,0.5,1.96,0.0,0.3,11.76,2.5
2,2020-01-01 00:38:01,2020-01-01 01:15:21,1,7.76,1,N,143,25,1,28.5,0.5,0.5,4.84,0.0,0.3,37.14,2.5
1,2020-01-01 00:15:35,2020-01-01 00:27:06,3,1.6,1,N,211,234,2,9.0,3.0,0.5,0.0,0.0,0.3,12.8,2.5
1,2020-01-01 00:41:20,2020-01-01 00:44:22,1,0.5,1,Y,234,90,1,4.0,3.0,0.5,1.0,0.0,0.3,8.8,2.5
1,2020-01-01 00:56:38,2020-01-01 01:13:34,1,1.7,1,N,246,142,2,11.5,3.0,0.5,0.0,0.0,0.3,15.3,2.5
2,2020-01-01 00:08:21,2020-01-01 00:25:29,1,8.45,1,N,138,216,2,24.5,0.5,0.5,0.0,0.0,0.3,25.8,0.0
1,2020-01-01 00:25:39,2020-01-01 00:27:05,1,0.0,1,N,170,162,4,3.0,3.0,0.5,0.0,0.0,0.3,6.8,2.5
1,2020-01-01 00:28:53,2020-01-01 00:41:59,1,1.5,1,N,170,161,1,9.5,3.0,0.5,2.65,0.0,0.3,15.95,2.5
1,2020-01-01 00:49:00,2020-01-01 01:17:42,1,2.9,1,N,161,262,1,19.0,3.0,0.5,4.55,0.0,0.3,27.35,2.5
1,2020-01-01 00:23:54,2020-01-01 00:38:46,1,1.9,1,N,236,162,1,10.5,3.0,0.5,2.85,0.0,0.3,17.15,2.5
1,2020-01-01 00:56:12,2020-01-01 01:19:57,1,4.2,1,N,50,261,1,18.0,3.0,0.5,4.35,0.0,0.3,26.15,2.5
1,2020-01-01 00:28:02,2020-01-01 00:35:56,2,1.5,1,N,142,236,1,7.5,3.0,0.5,2.8,0.0,0.3,14.1,2.5
1,2020-01-01 00:48:23,2020-01-01 00:53:58,1,0.6,1,N,237,141,1,5.5,3.0,0.5,1.85,0.0,0.3,11.15,2.5
2,2020-01-01 00:13:53,2020-01-01 00:40:35,1,5.73,1,N,246,112,2,21.0,0.5,0.5,0.0,6.12,0.3,30.92,2.5
2,2020-01-01 00:19:13,2020-01-01 00:28:54,1,2.12,1,N,24,236,1,9.0,0.5,0.5,0.0,0.0,0.3,12.8,2.5
2,2020-01-01 00:31:25,2020-01-01 00:37:16,2,0.93,1,N,236,262,1,5.5,0.5,0.5,2.32,0.0,0.3,11.62,2.5
1,2020-01-01 00:29:04,2020-01-01 01:03:27,2,5.7,1,N,234,238,1,25.5,3.0,0.5,5.85,0.0,0.3,35.15,2.5
1,2020-01-01 00:03:02,2020-01-01 00:09:22,1,1.2,1,N,232,79,2,6.5,3.0,0.5,0.0,0.0,0.3,10.3,2.5
1,2020-01-01 00:22:24,2020-01-01 00:33:24,1,1.3,1,N,79,233,1,8.5,3.0,0.5,1.7,0.0,0.3,14.0,2.5
1,2020-01-01 00:47:27,2020-01-01 00:55:40,1,0.7,1,N,233,170,1,6.5,3.0,0.5,2.05,0.0,0.3,12.35,2.5
1,2020-01-01 00:57:44,2020-01-01 01:00:49,1,0.4,1,N,170,107,1,4.0,3.0,0.5,1.55,0.0,0.3,9.35,2.5
1,2020-01-01 00:28:44,2020-01-01 00:43:40,2,3.9,1,N,148,49,1,14.5,3.0,0.5,3.7,0.0,0.3,22.0,2.5
1,2020-01-01 00:04:28,2020-01-01 00:17:36,1,3.3,1,N,144,229,1,12.0,3.0,0.5,3.15,0.0,0.3,18.95,2.5
